address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu,lat,lng
"Douglass Apartments, 650 Columbus Ave #434, Boston, MA 02118",1,3300,0.5 km,6.6 km,3.2 km,2.1 km,42.3388272,-71.08356669999999
"Gardner Street Apartments | 75-84 Gardner St, Allston, MA",1,2450,6.2 km,2.5 km,5.4 km,1.1 km,42.3532781,-71.12712979999999
"Gardner Street Apartments | 75-84 Gardner St, Allston, MA",2,2450,6.2 km,2.5 km,5.4 km,1.1 km,42.3532781,-71.12712979999999
"Idyl Fenway | 60 Kilmarnock St, Boston, MA",Studio,3710,1.0 km,6.2 km,3.1 km,1.3 km,42.3429115,-71.0990346
"Idyl Fenway | 60 Kilmarnock St, Boston, MA",1,3990,1.0 km,6.2 km,3.1 km,1.3 km,42.3429115,-71.0990346
"Idyl Fenway | 60 Kilmarnock St, Boston, MA",2,5710,1.0 km,6.2 km,3.1 km,1.3 km,42.3429115,-71.0990346
"Idyl Fenway | 60 Kilmarnock St, Boston, MA",3,9190,1.0 km,6.2 km,3.1 km,1.3 km,42.3429115,-71.0990346
"Elements | 60 Brainerd Rd, Allston, MA",1,3287,4.3 km,2.6 km,4.9 km,1.6 km,42.3474674,-71.1332006
"Winter Street Apartments, 8, 8 Winter St #1103, Boston, MA 02108",1,3200,4.5 km,8.7 km,4.2 km,3.5 km,42.3555339,-71.0608092
"The Brynx | 201 S Huntington Ave, Jamaica Plain, MA",Studio,2690,3.2 km,5.2 km,5.6 km,3.1 km,42.3257836,-71.1123365
"The Brynx | 201 S Huntington Ave, Jamaica Plain, MA",1,3450,3.2 km,5.2 km,5.6 km,3.1 km,42.3257836,-71.1123365
"The Brynx | 201 S Huntington Ave, Jamaica Plain, MA",2,4375,3.2 km,5.2 km,5.6 km,3.1 km,42.3257836,-71.1123365
"Shawmut Place, 475 Shawmut Ave APT 2, Boston, MA 02118",2,3500,1.2 km,7.7 km,3.6 km,2.7 km,42.3389167,-71.0759277
"1330 Boylston | 1330 Boylston St, Boston, MA",1,4371,1.1 km,5.9 km,2.8 km,1.3 km,42.3441492,-71.0983916
"1330 Boylston | 1330 Boylston St, Boston, MA",2,5051,1.1 km,5.9 km,2.8 km,1.3 km,42.3441492,-71.0983916
"1330 Boylston | 1330 Boylston St, Boston, MA",3,10489,1.1 km,5.9 km,2.8 km,1.3 km,42.3441492,-71.0983916
"Rozzie | 289 Walk Hill St, Roslindale, MA",1,3158,6.4 km,10.4 km,10.7 km,8.3 km,42.2878211,-71.1075764
"Rozzie | 289 Walk Hill St, Roslindale, MA",2,3908,6.4 km,10.4 km,10.7 km,8.3 km,42.2878211,-71.1075764
"95 Saint | 95 Saint Alphonsus St, Roxbury Crossing, MA",1,4635,1.0 km,7.3 km,4.2 km,2.3 km,42.3337172,-71.1012211
"95 Saint | 95 Saint Alphonsus St, Roxbury Crossing, MA",2,4938,1.0 km,7.3 km,4.2 km,2.3 km,42.3337172,-71.1012211
"Eco | 75 Brainerd Rd, Allston, MA",Studio,3049,4.3 km,2.7 km,4.9 km,1.6 km,42.3474529,-71.13403559999999
"Eco | 75 Brainerd Rd, Allston, MA",2,5114,4.3 km,2.7 km,4.9 km,1.6 km,42.3474529,-71.13403559999999
"Metro Rentals, LLC | 1 Nassau St, Boston, MA",1,2655,3.7 km,7.6 km,4.8 km,4.1 km,42.3486049,-71.0630924
"Metro Rentals, LLC | 1 Nassau St, Boston, MA",2,3745,3.7 km,7.6 km,4.8 km,4.1 km,42.3486049,-71.0630924
"Dot Block | 1211 Dorchester Ave, Dorchester, MA",Studio,2505,4.3 km,13.5 km,11.5 km,12.3 km,42.3095745,-71.0585936
"Dot Block | 1211 Dorchester Ave, Dorchester, MA",2,3660,4.3 km,13.5 km,11.5 km,12.3 km,42.3095745,-71.0585936
"Dot Block | 1211 Dorchester Ave, Dorchester, MA",3,4665,4.3 km,13.5 km,11.5 km,12.3 km,42.3095745,-71.0585936
"Imprint, 780 William T Morrissey Blvd, Dorchester, MA 02122",1,3158,7.3 km,14.8 km,12.7 km,13.6 km,42.295572,-71.047169
"E3 Apartments | 65 Brainerd Rd, Allston, MA",Studio,2848,4.3 km,2.6 km,4.9 km,1.6 km,42.347766,-71.13362289999999
"E3 Apartments | 65 Brainerd Rd, Allston, MA",1,2667,4.3 km,2.6 km,4.9 km,1.6 km,42.347766,-71.13362289999999
"E3 Apartments | 65 Brainerd Rd, Allston, MA",2,3936,4.3 km,2.6 km,4.9 km,1.6 km,42.347766,-71.13362289999999
"Hub25 | 25 Morrissey Blvd, Dorchester, MA",Studio,2392,4.8 km,12.3 km,10.2 km,11.0 km,42.31980840000001,-71.051234
"Hub25 | 25 Morrissey Blvd, Dorchester, MA",1,2802,4.8 km,12.3 km,10.2 km,11.0 km,42.31980840000001,-71.051234
"Chapman House | 61 Eutaw St E, Boston, MA",1,2500,8.1 km,11.9 km,6.8 km,7.6 km,42.3792213,-71.03702439999999
"Parkway Apartments | 1555 Vfw Pkwy, West Roxbury, MA",1,2529,15.0 km,29.9 km,16.8 km,14.4 km,42.2676322,-71.1714442
"Parkway Apartments | 1555 Vfw Pkwy, West Roxbury, MA",2,3391,15.0 km,29.9 km,16.8 km,14.4 km,42.2676322,-71.1714442
"The Longwood | 1575 Tremont St, Roxbury Crossing, MA",2,3964,1.3 km,7.6 km,4.5 km,2.6 km,42.3335003,-71.10181709999999
"Camelot Court | 10 Camelot Ct, Brighton, MA",1,3170,6.3 km,2.5 km,5.5 km,2.2 km,42.3501539,-71.14127429999999
