,address,bds,cost
0,"Douglass Apartments, 650 Columbus Ave #434, Boston, MA 02118",1 bd,"$3,300/mo"
1,"Gardner Street Apartments | 75-84 Gardner St, Allston, MA",1 bd,"$2,450+"
2,"Gardner Street Apartments | 75-84 Gardner St, Allston, MA",2 bd,"$2,450+"
3,"Idyl Fenway | 60 Kilmarnock St, Boston, MA",Studio,"$3,710+"
4,"Idyl Fenway | 60 Kilmarnock St, Boston, MA",1 bd,"$3,990+"
5,"Idyl Fenway | 60 Kilmarnock St, Boston, MA",2 bd,"$5,710+"
6,"Idyl Fenway | 60 Kilmarnock St, Boston, MA",3 bd,"$9,190+"
7,"Elements | 60 Brainerd Rd, Allston, MA",1 bd,"$3,287+"
8,"Winter Street Apartments, 8, 8 Winter St #1103, Boston, MA 02108",1 bd,"$3,200/mo"
9,"The Brynx | 201 S Huntington Ave, Jamaica Plain, MA",Studio,"$2,690+"
10,"The Brynx | 201 S Huntington Ave, Jamaica Plain, MA",1 bd,"$3,450+"
11,"The Brynx | 201 S Huntington Ave, Jamaica Plain, MA",2 bd,"$4,375+"
12,"Shawmut Place, 475 Shawmut Ave APT 2, Boston, MA 02118",2 bds,"$3,500/mo"
13,"1330 Boylston | 1330 Boylston St, Boston, MA",1 bd,"$4,371+"
14,"1330 Boylston | 1330 Boylston St, Boston, MA",2 bd,"$5,051+"
15,"1330 Boylston | 1330 Boylston St, Boston, MA",3 bd,"$10,489+"
16,"Rozzie | 289 Walk Hill St, Roslindale, MA",1 bd,"$3,158+"
17,"Rozzie | 289 Walk Hill St, Roslindale, MA",2 bd,"$3,908+"
18,"95 Saint | 95 Saint Alphonsus St, Roxbury Crossing, MA",1 bd,"$4,635+"
19,"95 Saint | 95 Saint Alphonsus St, Roxbury Crossing, MA",2 bd,"$4,938+"
20,"Eco | 75 Brainerd Rd, Allston, MA",Studio,"$3,049+"
21,"Eco | 75 Brainerd Rd, Allston, MA",2 bd,"$5,114+"
22,"Metro Rentals, LLC | 1 Nassau St, Boston, MA",1 bd,"$2,655+"
23,"Metro Rentals, LLC | 1 Nassau St, Boston, MA",2 bd,"$3,745+"
24,"Dot Block | 1211 Dorchester Ave, Dorchester, MA",Studio,"$2,505+"
25,"Dot Block | 1211 Dorchester Ave, Dorchester, MA",2 bd,"$3,660+"
26,"Dot Block | 1211 Dorchester Ave, Dorchester, MA",3 bd,"$4,665+"
27,"Imprint, 780 William T Morrissey Blvd, Dorchester, MA 02122",1 bd,"$3,158+/mo"
28,"E3 Apartments | 65 Brainerd Rd, Allston, MA",Studio,"$2,848+"
29,"E3 Apartments | 65 Brainerd Rd, Allston, MA",1 bd,"$2,667+"
30,"E3 Apartments | 65 Brainerd Rd, Allston, MA",2 bd,"$3,936+"
31,"Hub25 | 25 Morrissey Blvd, Dorchester, MA",Studio,"$2,392+"
32,"Hub25 | 25 Morrissey Blvd, Dorchester, MA",1 bd,"$2,802+"
33,"Chapman House | 61 Eutaw St E, Boston, MA",1 bd,"$2,500+"
34,"Parkway Apartments | 1555 Vfw Pkwy, West Roxbury, MA",1 bd,"$2,529+"
35,"Parkway Apartments | 1555 Vfw Pkwy, West Roxbury, MA",2 bd,"$3,391+"
36,"The Longwood | 1575 Tremont St, Roxbury Crossing, MA",2 bd,"$3,964+"
37,"Camelot Court | 10 Camelot Ct, Brighton, MA",1 bd,"$3,170+"
38,"Camelot Court | 10 Camelot Ct, Brighton, MA",2 bd,"$3,256+"
39,"Camelot Court | 10 Camelot Ct, Brighton, MA",3 bd,"$4,058+"
40,"HEW at 1515 Comm Ave | 1525 Commonwealth Ave, Brighton, MA",Studio,"$2,960+"
