,address,bds,cost
0,"64 Hobart St #1, Brighton, MA 02135",3 bds,"$3,200/mo"
1,"39 Blenford Rd #1, Boston, MA 02135",3 bds,"$3,300/mo"
2,"17 Sparhawk St #4, Brighton, MA 02135",4 bds,"$4,800/mo"
3,"55 Park Dr, Boston, MA",Studio,"$2,195+"
4,"55 Park Dr, Boston, MA",1 bd,"$2,800+"
5,"55 Park Dr, Boston, MA",2 bd,"$3,050+"
6,"30 Kinross Rd, Brighton, MA",1 bd,"$2,400+"
7,"30 Kinross Rd, Brighton, MA",2 bd,"$2,800+"
8,"30 Glencoe St #1, Brighton, MA 02135",3 bds,"$3,800/mo"
9,"3 Glenley Ter #1, Brighton, MA 02135",6 bds,"$5,900/mo"
10,"12 Shannon St #1, Brighton, MA 02135",3 bds,"$3,200/mo"
11,"9 Sparhawk St #2, Brighton, MA 02135",4 bds,"$5,400/mo"
12,"41 Gardena St #2, Brighton, MA 02135",3 bds,"$3,600/mo"
13,"11 Dunboy St #2, Brighton, MA 02135",3 bds,"$3,300/mo"
14,"(undisclosed Address), Brighton, MA 02135",2 bds,"$2,825/mo"
15,"14 Sparhawk St #2, Brighton, MA 02135",4 bds,"$4,800/mo"
16,"77 Colborne Rd #2, Brighton, MA 02135",2 bds,"$3,000/mo"
17,"48 Cummings Rd APT 1, Brighton, MA 02135",5 bds,"$5,000/mo"
18,"142 Sutherland Rd, Brighton, MA",3 bd,"$3,400+"
19,"142 Sutherland Rd, Brighton, MA",4 bd,"$5,000+"
20,"131 Brooks St #1, Brighton, MA 02135",4 bds,"$4,800/mo"
21,"80 Brooks St #3, Brighton, MA 02135",3 bds,"$3,300/mo"
22,"156 Strathmore Rd #21, Brighton, MA 02135",2 bds,"$3,100/mo"
23,"41 Arlington St #3, Brighton, MA 02135",3 bds,"$3,600/mo"
24,"21 Champney St #1, Brighton, MA 02135",6 bds,"$5,900/mo"
25,"23 Colborne Rd #2, Brighton, MA 02135",4 bds,"$4,500/mo"
26,"40 Glenley Ter #1, Brighton, MA 02135",6 bds,"$5,700/mo"
27,"14 Bentley St #1, Brighton, MA 02135",3 bds,"$3,200/mo"
28,"224 Faneuil St #2, Brighton, MA 02135",4 bds,"$3,750/mo"
29,"12 Melvin Ave #2, Brighton, MA 02135",4 bds,"$4,700/mo"
30,"4 Wadsworth St #2, Allston, MA 02134",5 bds,"$5,150/mo"
31,"62 N Beacon St #4, Allston, MA 02134",4 bds,"$5,200/mo"
32,"3 Delaware Pl #2, Brighton, MA 02135",3 bds,"$3,550/mo"
33,"63 Selkirk Rd, Boston, MA",2 bd,"$2,950+"
34,"4 Adella Pl #G, Allston, MA 02134",3 bds,"$3,500/mo"
35,"106 Warren St, Brighton, MA",2 bd,"$3,400+"
36,"48 Hereford St, Boston, MA",1 bd,"$2,800+"
37,"65 Surrey St #1, Brighton, MA 02135",3 bds,"$3,150/mo"
38,"9 Bennett St #2, Boston, MA 02135",3 bds,"$3,150/mo"
39,"16 Sutherland Rd APT 2, Brighton, MA 02135",4 bds,"$4,200/mo"
40,"11 Lothrop St FLOOR 2, Brighton, MA 02135",3 bds,"$3,300/mo"
41,"133 Seaport Blvd, Boston, MA",1 bd,"$4,845+"
42,"133 Seaport Blvd, Boston, MA",2 bd,"$8,950+"
43,"72 Strathmore Rd APT 12B, Brighton, MA 02135",3 bds,"$3,250/mo"
44,"33 Bigelow St #2, Brighton, MA 02135",3 bds,"$3,400/mo"
45,"33-35 Gray St, Boston, MA",1 bd,"$5,200+"
46,"8 Donnybrook Rd #2, Brighton, MA 02135",4 bds,"$4,400/mo"
47,"35 Bentley St #2, Boston, MA 02135",5 bds,"$9,999/mo"
48,"49 Orkney Rd #3, Brighton, MA 02135",4 bds,"$4,400/mo"
49,"66 Perthshire Rd #2, Brighton, MA 02135",4 bds,"$4,500/mo"
50,"95 Prince St, Boston, MA",1 bd,"$2,595+"
51,"95 Prince St, Boston, MA",2 bd,"$3,695+"
52,"21 Morrow Rd FLOOR 2, Brighton, MA 02135",3 bds,"$3,200/mo"
53,"19 Litchfield St APT 3, Brighton, MA 02135",3 bds,"$3,400/mo"
54,"16 Leicester St FLOOR 2, Brighton, MA 02135",3 bds,"$3,300/mo"
55,"72 Brooks St #2, Brighton, MA 02135",3 bds,"$3,200/mo"
56,"39 Snow St #1, Brighton, MA 02135",4 bds,"$6,000/mo"
57,"17 Hemenway St #14, Boston, MA 02115",Studio ba,"$3,200/mo"
58,"20 Chiswick Rd #8, Brighton, MA 02135",3 bds,"$3,400/mo"
59,"65 Gardena St #1, Brighton, MA 02135",4 bds,"$4,950/mo"
60,"7 Willoughby St, Brighton, MA 02135",4 bds,"$4,200/mo"
61,"30 Faneuil St #2, Brighton, MA 02135",4 bds,"$4,800/mo"
62,"24 Peterborough St, Boston, MA",Studio,"$2,550+"
63,"24 Peterborough St, Boston, MA",1 bd,"$2,800+"
64,"4 Donnybrook Rd #2, Brighton, MA 02135",4 bds,"$4,000/mo"
65,"490 Washington St #2, Boston, MA 02135",5 bds,"$4,950/mo"
66,"120 London St, Boston, MA",1 bd,"$2,100+"
67,"46A Kirkwood Rd, Brighton, MA",4 bd,"$8,700+"
68,"46A Kirkwood Rd, Brighton, MA",7 bd,"$10,675+"
69,"17 Kinross Rd FLOOR 3, Brighton, MA 02135",3 bds,"$3,600/mo"
70,"31 Mansfield St #2, Allston, MA 02134",4 bds,"$5,200/mo"
71,"36 Orkney Rd APT 3, Brighton, MA 02135",4 bds,"$4,400/mo"
72,"70 Langley Rd #1, Brighton, MA 02135",4 bds,"$5,700/mo"
73,"(undisclosed Address), Brighton, MA 02135",4 bds,"$3,900/mo"
74,"504 Beacon St, Boston, MA",Studio,"$2,175+"
75,"504 Beacon St, Boston, MA",2 bd,"$3,200+"
76,"12 Cummings Rd #2, Brighton, MA 02135",5 bds,"$5,000/mo"
77,"1561 Commonwealth Ave #3, Brighton, MA 02135",2 bds,"$2,900/mo"
78,"14-18 Westford St #7R, Allston, MA 02134",2 bds,"$3,100/mo"
79,"128 Parsons St #2, Brighton, MA 02135",5 bds,"$5,500/mo"
80,"42 Claymoss Rd, Brighton, MA",3 bd,"$3,150+"
81,"42 Claymoss Rd, Brighton, MA",5 bd,"$4,400+"
82,"108 Kenrick St #4, Brighton, MA 02135",4 bds,"$5,400/mo"
83,"57 Hobart St #1, Brighton, MA 02135",3 bds,"$3,300/mo"
84,"(undisclosed Address), Boston, MA 02215",Studio ba,"$2,475/mo"
85,"72 Hobart St #2, Brighton, MA 02135",5 bds,"$5,300/mo"
86,"122 Bennett St #1, Brighton, MA 02135",3 bds,"$3,150/mo"
87,"180 Endicott St, Boston, MA",1 bd,"$2,700+"
88,"319 Summit Ave #1, Brighton, MA 02135",5 bds,"$5,500/mo"
89,"33 Harriet St FLOOR 2, Brighton, MA 02135",4 bds,"$4,000/mo"
90,"140 Newton St, Brighton, MA",3 bd,"$3,300+"
91,"68 Glencoe St #3, Brighton, MA 02135",3 bds,"$3,500/mo"
92,"1661-1665 Washington St, Boston, MA",1 bd,"$2,900+"
93,"1661-1665 Washington St, Boston, MA",2 bd,"$3,450+"
94,"50 Evergreen St, Jamaica Plain, MA",1 bd,"$2,500+"
95,"50 Evergreen St, Jamaica Plain, MA",2 bd,"$3,100+"
96,"134 Newton St, Brighton, MA",3 bd,"$3,200+"
97,"1840-6 Commonwealth Ave, Brighton, MA",Studio,"$2,100+"
98,"1840-6 Commonwealth Ave, Brighton, MA",1 bd,"$2,100+"
99,"1840-6 Commonwealth Ave, Brighton, MA",2 bd,"$2,700+"
100,"1840-6 Commonwealth Ave, Brighton, MA",3 bd+,"$4,450+"
101,"7 Wollaston Ter, Dorchester Center, MA",2 bd,"$2,650+"
102,"822 Huntington Ave, Boston, MA",2 bd,"$3,300+"
103,"303 Summit Ave, Brighton, MA",2 bd,"$2,600+"
104,"303 Summit Ave, Brighton, MA",5 bd,"$6,500+"
105,"113 Beacon St, Boston, MA",1 bd,"$3,000+"
106,"113 Beacon St, Boston, MA",2 bd,"$5,000+"
107,"113 Beacon St, Boston, MA",3 bd,"$5,000+"
108,"295 Summit Ave #2, Boston, MA 02135",5 bds,"$5,500/mo"
109,"25 Mapleton St #2, Brighton, MA 02135",5 bds,"$5,500/mo"
110,"16 Oakland St #2, Brighton, MA 02135",4 bds,"$5,400/mo"
111,"23 Chiswick Rd #4, Brighton, MA 02135",3 bds,"$3,400/mo"
112,"60 Bennett St #2, Brighton, MA 02135",3 bds,"$3,300/mo"
113,"1665 Commonwealth Ave APT 2, Brighton, MA 02135",4 bds,"$3,750/mo"
114,"176 N Beacon St, Boston, MA",1 bd,"$2,400+"
115,"176 N Beacon St, Boston, MA",2 bd,"$2,700+"
116,"164 Endicott St, Boston, MA",2 bd,"$3,200+"
117,"76 Hano St, Allston, MA 02134",4 bds,"$3,550/mo"
118,"14 Leicester St #3, Brighton, MA 02135",3 bds,"$3,400/mo"
119,"38 Perthshire Rd #2, Brighton, MA 02135",4 bds,"$4,700/mo"
120,"41 Matchett St #1, Brighton, MA 02135",3 bds,"$3,600/mo"
121,"45 Matchett St #1, Brighton, MA 02135",3 bds,"$3,600/mo"
122,"16 Hopedale St #1, Allston, MA 02134",5 bds,"$5,900/mo"
123,"20 Coolidge Rd #1, Allston, MA 02134",3 bds,"$3,400/mo"
124,"8 Crowell St APT 1, Dorchester Center, MA 02124",3 bds,"$3,800/mo"
125,"6 Sparhawk St #1, Brighton, MA 02135",3 bds,"$3,850/mo"
126,"80 Etna St #2, Brighton, MA 02135",4 bds,"$3,800/mo"
127,"48 Adamson St #46, Allston, MA 02134",3 bds,"$3,500/mo"
128,"164 Kelton St #3, Boston, MA 02134",3 bds,"$3,600/mo"
129,"15 Bothwell Rd FLOOR 2, Brighton, MA 02135",5 bds,"$6,000/mo"
130,"40 Donnybrook Rd, Brighton, MA",4 bd,"$3,800+"
131,"(undisclosed Address), Boston, MA 02135",3 bds,"$4,000/mo"
132,"18 Sutherland Rd #21, Brighton, MA 02135",3 bds,"$3,325/mo"
133,"(undisclosed Address), Boston, MA 02115",4 bds,"$5,600/mo"
134,"(undisclosed Address), Brighton, MA 02135",2 bds,"$2,900/mo"
135,"(undisclosed Address), Jamaica Plain, MA 02130",2 bds,"$3,695/mo"
136,"36-40 Hemenway St, Boston, MA",Studio,"$2,300+"
137,"36-40 Hemenway St, Boston, MA",1 bd,"$3,000+"
138,"36-40 Hemenway St, Boston, MA",2 bd,"$3,600+"
139,"36-40 Hemenway St, Boston, MA",3 bd+,"$4,950+"
140,"249 Chestnut Hill Ave, Brighton, MA",Studio,"$1,900+"
141,"249 Chestnut Hill Ave, Brighton, MA",2 bd,"$2,500+"
142,"314 Faneuil St #3, Brighton, MA 02135",4 bds,"$4,000/mo"
143,"14 Glenmont Rd FLOOR 2, Brighton, MA 02135",3 bds,"$3,500/mo"
144,"150 Englewood Ave #21, Brighton, MA 02135",3 bds,"$3,325/mo"
145,"10-20 Elko St, Brighton, MA",1 bd,"$2,850+"
146,"10-20 Elko St, Brighton, MA",2 bd,"$3,150+"
147,"41 Bennett St #2, Brighton, MA 02135",4 bds,"$4,400/mo"
148,"20 Cufflin St #2, Brighton, MA 02135",4 bds,"$5,800/mo"
149,"42-46 Brackett St #2, Brighton, MA 02135",3 bds,"$3,500/mo"
150,"37 Faneuil St #2, Brighton, MA 02135",6 bds,"$5,995/mo"
151,"38 Queensberry St #12, Boston, MA 02215",Studio ba,"$2,450/mo"
152,"8 Bellvista Rd #6, Brighton, MA 02135",2 bds,"$3,000/mo"
153,"14 Brooks St #3, Brighton, MA 02135",3 bds,"$3,300/mo"
